2,5,20,1,0
3,8,38,11,11
5,16,23,4,0
9,18,33,15,7
15,25,26,7,8
20,29,34,9,10
21,30,34,17,3
33,37,14,6,4
37,43,18,9,3
40,5,25,11,5
41,8,19,8,0
46,16,20,7,1
52,18,33,1,4
56,25,19,4,4
66,29,21,10,3
73,30,26,8,3
77,37,19,3,1
80,43,23,2,2
86,5,33,2,4
95,8,25,9,6
96,16,17,1,2
98,18,36,15,2
99,25,18,7,3
100,29,32,10,0
106,30,32,3,7
107,37,34,9,10
109,43,27,3,9
121,5,16,0,2
128,8,20,0,5
133,16,34,13,3
135,18,10,4,2
137,25,27,1,8
140,29,18,7,1
145,30,30,6,5
149,37,16,6,5
162,43,28,6,6
166,5,40,18,10
170,8,40,16,2
192,16,37,10,4
193,18,28,11,1
197,25,26,6,1
202,29,23,2,2
209,30,19,2,0
210,37,23,4,1
211,43,16,0,4
217,5,40,11,0
218,8,31,7,8
226,16,15,5,2
230,18,12,5,4
247,25,31,12,0
248,29,23,6,7
253,30,34,5,2
254,37,28,4,0
257,43,14,4,3
263,5,35,8,2
265,8,11,0,3
267,16,35,12,11
268,18,10,2,1
271,25,24,4,2
275,29,37,9,7
276,30,15,0,4
277,37,30,4,6
278,43,40,18,1
279,5,28,4,4
280,8,31,3,8
284,16,20,5,5
286,18,24,7,2
289,25,30,3,1
291,29,11,4,3
297,30,40,2,11
301,37,37,2,2
302,43,32,13,6
304,5,15,2,4
319,8,31,5,7
320,16,12,4,3
321,18,10,1,3
325,25,22,8,5
334,29,16,0,2
336,30,28,0,3
338,37,11,2,3
339,43,35,12,1
349,5,32,3,5
352,8,22,0,7
358,16,14,4,1
361,18,32,5,2
362,25,33,7,2
369,29,20,5,3
370,30,25,2,4
375,37,27,7,8
381,43,37,7,9
390,5,14,0,3
392,8,39,1,1
395,16,17,1,3
397,18,37,8,10
403,25,38,19,8
404,29,20,5,5
413,30,12,2,3
417,37,15,0,0
420,43,31,10,10
424,5,33,6,7
425,8,24,5,4
436,16,13,5,1
440,18,39,14,0
442,25,11,1,2
443,29,21,10,2
445,30,24,4,5
451,37,17,5,2
452,43,23,5,1
457,5,10,3,0
459,8,35,6,8
461,16,14,5,3
464,18,28,5,6
467,25,17,6,3
471,29,34,13,2
472,30,34,4,5
475,37,21,6,1
478,43,20,10,5
481,5,30,3,8
483,8,26,7,4
485,16,19,7,6
487,18,30,3,2
488,25,10,3,1
495,29,16,5,3
496,30,27,6,1
498,37,35,8,0
503,43,36,1,1
509,5,23,6,0
512,8,39,2,13
518,16,22,0,5
523,18,14,1,0
525,25,33,3,8
528,29,23,2,7
533,30,17,7,1
538,37,35,9,2
540,43,28,4,4
545,5,34,2,11
547,8,28,3,0
548,16,36,7,12
553,18,25,6,1
555,25,18,2,6
557,29,39,17,9
560,30,31,10,10
565,37,40,18,10
568,43,20,3,4
569,5,14,6,1
582,8,26,13,8
588,16,22,6,7
593,18,16,5,5
595,25,26,2,5
597,29,22,10,6
598,30,16,8,2
606,37,13,4,1
615,43,40,16,8
618,5,29,10,1
619,8,17,2,2
621,16,10,2,2
627,18,33,5,7
632,25,35,14,10
639,29,18,2,5
645,30,33,1,1
653,37,37,13,3
659,43,27,8,3
662,5,34,1,0
663,8,30,7,6
668,16,40,0,7
672,18,36,3,2
677,25,39,19,8
678,29,33,1,0
679,30,24,6,8
683,37,13,1,4
685,43,36,11,4
690,5,33,10,0
692,8,25,3,4
693,16,10,1,1
696,18,11,1,0
699,25,27,6,1
702,29,35,3,1
703,30,37,17,0
706,37,12,1,3
710,43,25,4,8
717,5,24,3,7
719,8,29,12,9
722,16,10,0,2
723,18,31,13,2
724,25,37,3,7
727,29,13,0,3
728,30,16,2,0
732,37,23,11,1
737,43,26,3,2
740,5,39,9,0
750,8,26,8,2
751,16,29,11,6
752,18,17,6,4
757,25,34,0,5
760,29,26,11,1
764,30,39,10,1
765,37,15,5,2
770,43,32,3,8
773,5,27,11,0
779,8,16,6,4
785,16,10,2,3
788,18,38,6,9
792,25,24,3,4
795,29,13,4,4
798,30,33,6,8
809,37,23,11,6
812,43,38,2,3
816,5,25,4,8
817,8,11,4,2
822,16,10,3,0
823,18,36,13,1
829,25,18,5,1
830,29,31,8,8
842,30,38,13,8
848,37,38,2,11
857,43,22,4,2
864,5,26,1,3
872,8,32,4,9
873,16,10,5,3
878,18,29,1,8
883,25,29,11,5
886,29,30,11,1
898,30,26,4,5
904,37,40,3,5
909,43,17,0,3
914,5,37,12,1
917,8,15,3,2
918,16,18,4,1
921,18,39,4,9
922,25,39,15,6
927,29,36,17,7
933,30,15,7,5
935,37,24,7,4
939,43,27,0,1
943,5,12,4,0
944,8,36,3,4
947,16,34,13,2
948,18,19,3,1
951,25,33,9,10
954,29,35,17,2
957,30,15,3,5
959,37,10,1,2
966,43,16,7,0
972,5,39,16,9
973,8,10,5,0
974,16,15,4,2
976,18,24,7,5
979,25,34,10,9
980,29,29,5,7
984,30,31,14,0
990,37,31,4,2
1005,43,16,1,2
1008,5,26,5,1
1019,8,18,2,5
1028,16,30,5,0
1031,18,35,11,6
1041,25,29,0,0
1042,29,29,5,6
1046,30,14,7,3
1059,37,27,9,3
1061,43,16,6,4
1063,5,17,1,0
1068,8,28,4,3
1070,16,33,16,9
1078,18,18,6,2
1081,25,34,16,5
1085,29,13,2,2
1086,30,18,8,4
1089,37,36,15,4
1092,43,23,8,6
1093,5,40,6,1
1095,8,39,12,11
1097,16,35,15,10
1105,18,12,3,0
1106,25,31,7,4
1110,29,12,5,1
1112,30,13,3,1
1115,37,30,6,10
1116,43,30,6,3
1119,5,19,6,4
1128,8,34,10,2
1129,16,37,18,6
1144,18,15,2,2
1146,25,36,18,10
1155,29,18,9,5
1158,30,27,12,7
1159,37,13,0,0
1174,43,20,5,2
1177,5,27,4,9
1188,8,13,4,0
1189,16,30,4,3
1193,18,15,1,3
1197,25,11,1,1
1199,29,11,4,0
1200,30,20,1,5
1203,37,23,5,3
1206,43,13,4,0
1207,5,36,15,9
1210,8,37,13,4
1215,16,40,0,6
1219,18,17,4,1
1227,25,22,7,7
1230,29,28,5,3
1233,30,10,4,0
1235,37,22,8,7
1237,43,23,4,4
1242,5,21,7,0
1244,8,16,4,4
1246,16,29,14,5
1247,18,18,8,0
1248,25,14,0,4
1254,29,16,5,5
1262,30,19,2,0
1264,37,25,7,3
